movieId,title,Drama,Musical,IMAX,Romance,Children,Mystery,Horror,Animation,War,Action,Sci-Fi,Western,Thriller,Comedy,Fantasy,Documentary,Adventure,Crime,(no genres listed),Film-Noir
0,Toy Story (1995),0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0
1,Jumanji (1995),0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2,Grumpier Old Men (1995),0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3,Waiting to Exhale (1995),1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4,Father of the Bride Part II (1995),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5,Heat (1995),0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
6,Sabrina (1995),0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7,Tom and Huck (1995),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8,Sudden Death (1995),0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9,GoldenEye (1995),0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
10,"American President, The (1995)",1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
11,Dracula: Dead and Loving It (1995),0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
12,Balto (1995),0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
13,Nixon (1995),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Cutthroat Island (1995),0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
15,Casino (1995),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
16,Sense and Sensibility (1995),1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Four Rooms (1995),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
18,Ace Ventura: When Nature Calls (1995),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
19,Money Train (1995),1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0
20,Get Shorty (1995),0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
21,Copycat (1995),1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0
22,Assassins (1995),0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
23,Powder (1995),1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
24,Leaving Las Vegas (1995),1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Othello (1995),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Now and Then (1995),1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Persuasion (1995),1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
29,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
30,Dangerous Minds (1995),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
32,Babe (1995),1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Dead Man Walking (1995),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
34,It Takes Two (1995),0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
35,Clueless (1995),0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
36,"Cry, the Beloved Country (1995)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Richard III (1995),1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
38,Dead Presidents (1995),1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
39,Restoration (1995),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Mortal Kombat (1995),0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
41,To Die For (1995),1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
42,How to Make an American Quilt (1995),1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Seven (a.k.a. Se7en) (1995),0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
44,Pocahontas (1995),1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
45,When Night Is Falling (1995),1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,"Usual Suspects, The (1995)",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
47,Mighty Aphrodite (1995),1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
48,Lamerica (1994),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
49,"Big Green, The (1995)",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
50,Georgia (1995),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Home for the Holidays (1995),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,"Postman, The (Postino, Il) (1994)",1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
53,"Indian in the Cupboard, The (1995)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
54,Eye for an Eye (1996),1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
55,Mr. Holland's Opus (1995),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
57,Two if by Sea (1996),0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
58,Bio-Dome (1996),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
59,Lawnmower Man 2: Beyond Cyberspace (1996),0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
60,French Twist (Gazon maudit) (1995),0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
61,Friday (1995),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
62,From Dusk Till Dawn (1996),0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0
63,Fair Game (1995),0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
64,Kicking and Screaming (1995),1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
65,"Misérables, Les (1995)",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
66,Bed of Roses (1996),1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,Big Bully (1996),1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
68,Screamers (1995),0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
69,Nico Icon (1995),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
70,"Crossing Guard, The (1995)",1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
71,"Juror, The (1996)",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
72,"White Balloon, The (Badkonake sefid) (1995)",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,Things to Do in Denver When You're Dead (1995),1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
74,Antonia's Line (Antonia) (1995),1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
75,Once Upon a Time... When We Were Colored (1995),1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,Angels and Insects (1995),1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
